Height,Value
0.0,-87418223.56284614
796374.9999999992,-86927005.04887697
1592749.9999999984,-85455152.92931503
2389124.999999998,-83002667.20416051
3185499.9999999967,-79569547.87341322
3981874.999999997,-75323688.77100922
4778249.999999996,-69995319.70057984
5574624.999999995,-63584440.66212499
6370999.9999999935,-56091051.65564472
6849001.408059839,-51743999.06315121
6959552.450940657,-50810433.84094507
7065910.456966607,-49937739.22259951
7250305.838635351,-48483900.113995016
7327002.816119684,-47901294.866760485
7418358.057772186,-47224286.73595465
7760820.913933218,-44850359.98216522
7792698.798846211,-44642555.28001549
7805004.224179529,-44562939.066472486
7833641.790019211,-44378947.82626922
7902370.768438172,-43944762.133211
8129611.677270706,-42583428.99220719
8283005.6322393725,-41728931.66228728
8324600.421400457,-41500740.08078097
8439538.783434665,-40876657.93517847
8457406.09880311,-40780497.77908384
8479885.96953393,-40659839.80803932
8521481.780266728,-40437538.82689246
8885862.822484538,-38543426.23408128
8962844.984293165,-38155491.68200468
9111768.576201186,-37417135.2367437
9159054.323641444,-37186034.58162109
9409351.91216118,-36057096.23091794
9700428.722226828,-34799718.06797756
9878049.971026665,-34061754.813140966
9923252.61295388,-33877498.12826891
10141453.752804909,-33008297.579559445
10461439.434307894,-31794282.129155725
10672630.19442526,-31032533.611112528
10685041.761637889,-30988836.920334965
10687512.00999133,-30980154.39207624
10704000.49013945,-30922321.898628037
11241166.710852424,-29154194.02044556
11638211.56769659,-28007431.908837408
11730630.296738658,-27747762.33045429
11804670.504773611,-27541708.54463307
11886536.41994276,-27315923.753245644
12295421.902283516,-26220421.277855176
12727582.028180594,-25120879.709664963
12762623.76404688,-25034350.16666274
12780251.741620447,-24990969.88059518
13349677.09371461,-23643320.79846605
13449386.478000209,-23418045.597803704
13488230.604235075,-23331147.923010863
13751646.630091414,-22748521.729072865
14333784.90965489,-21542940.077425618
14663680.775013443,-20909862.085704867
14866913.926217075,-20537902.147279914
15249891.852919478,-19874370.108184066
15294905.89786259,-19798610.20178467
15315922.06560113,-19760399.601629127
15674210.469210591,-19179139.95310132
15719402.759958047,-19107179.32688281
15910754.13848755,-18805852.259957124
16222586.356250947,-18326467.832831565
16530323.734963909,-17867556.15306687
16540415.736792289,-17852745.02056279
17027329.520245258,-17156139.88025268
17152397.887263384,-16982901.752742305
17427115.449125364,-16610544.172606692
17702190.75845429,-16249361.156452363
17773233.581669554,-16158016.241416013
18083132.412762266,-15768854.821383309
18199241.081626315,-15626944.895408498
18753958.53014704,-14978268.567270448
18777442.61627789,-14951876.170333754
19096638.062778965,-14601766.012101624
19295162.201798864,-14392109.460940303
19644558.08370249,-13998040.938700035
19807711.337519296,-13818115.68698816
21076810.5972718,-12644105.672334963
21500632.81518904,-12270346.026491117
21633786.430935323,-12154813.01872088
21726364.712358404,-12075019.103816433
21760852.59740471,-12045405.550506655
21937644.99896065,-11892317.5576192
22032499.582054235,-11812976.569677774
23165669.48533439,-10915938.285946034
23302656.226612043,-10813848.87291365
23432424.68703745,-10718402.588962894
23866343.952239137,-10408178.838889796
23935252.66329816,-10360178.541260172
24570403.710008945,-9934071.105740355
24972339.809866626,-9679639.139271587
25450712.9175656,-9392194.550754225
25484000.0,-9372814.782136235
